,Title[1][2],Developer(s),Publisher(s)[1][2][3],Publisher(s)[1][2][3],Release date,Release date
248,Ghostbusters II,Imagineering,Activision,Activision,April 1990,"December 7, 1990"
249,Ghosts 'n Goblins (NA)Ghost 'n Goblins (EU),Micronics,Capcom,Capcom,"November 1, 1986","March 23, 1989"
250,Ghoul School,Imagineering,Electro Brain,Unreleased,March 1992,Unreleased
251,Goal!,TOSE,Jaleco,Jaleco,October 1989,"March 24, 1994"
252,Goal! Two (NA/ES)Eric Cantona Football Challenge Goal! 2 (FR),TOSE,Jaleco,Jaleco,November 1992,1992
253,Godzilla: Monster of Monsters,Compile,Toho,Toho,October 1989,1991
254,Godzilla 2: War of the Monsters,???,Toho,Unreleased,February 1992,Unreleased
255,Golf,Nintendo,Nintendo,Nintendo,"October 18, 1985","November 15, 1986"
256,Golf Grand Slam,TOSE,Atlus,Unreleased,November 1991,Unreleased
257,Golgo 13: Top Secret Episode,Vic Tokai,Vic Tokai,Unreleased,September 1988,Unreleased
258,The Goonies II,Konami,Konami,Konami,November 1987,"December 19, 1988"
259,Gotcha! The Sport!,Atlus,LJN,Unreleased,November 1987,Unreleased
260,Gradius,Konami,Konami,Konami,December 1986,"November 30, 1988"
261,The Great Waldo Search,Radiance,THQ,Unreleased,December 1992,Unreleased
262,Greg Norman's Golf Power,Gremlin Interactive,Virgin Interactive,Unreleased,July 1992,Unreleased
263,Gremlins 2: The New Batch,Sunsoft,Sunsoft,Sunsoft,October 1990,"February 21, 1991"
264,The Guardian Legend,Compile,Brøderbund,Nintendo,April 1989,"February 20, 1992"
265,Guerrilla War,SNK,SNK,SNK,June 1989,1989
266,Gumshoe,Nintendo Research & Development 1,Nintendo,Nintendo,August 1986,May 1988
267,Gun-Nac,Compile,ASCII,Unreleased,September 1991,Unreleased
268,Gun.Smoke,Capcom,Capcom,Capcom,February 1988,"February 23, 1988"
269,Gyromite,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986"
270,Gyruss,Konami,Ultra Games,Unreleased,February 1989,Unreleased
271,Hammerin' Harry,Tamtex,Unreleased,Irem,Unreleased,1992
272,Harlem Globetrotters,Softie,GameTek,Unreleased,March 1991,Unreleased
273,Hatris,Bullet-Proof Software,Bullet-Proof Software,Unreleased,April 1992,Unreleased
274,Heavy Barrel,Data East,Data East,Unreleased,March 1990,Unreleased
275,Heavy Shreddin' (NA)Snowboard Challenge (EU),Imagineering,Parker Brothers,Activision,June 1990,1990
276,High Speed,Rare,Tradewest,Tradewest,July 1991,"April 28, 1994"
277,Hogan's Alley,"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,"October 18, 1985","December 15, 1987"
278,Hollywood Squares,Rare,GameTek,Unreleased,September 1989,Unreleased
279,Home Alone,Bethesda Softworks,THQ,Unreleased,October 1991,Unreleased
280,Home Alone 2: Lost in New York,Imagineering,THQ,THQ,October 1992,1992
281,Hook,Painting by Numbers,Sony Imagesoft,Ocean Software,April 1992,1992
282,Hoops,Aicom,Jaleco,Jaleco,June 1989,1989
283,Hudson Hawk,Special FX,Sony Imagesoft,Ocean Software,February 1992,1992
284,The Hunt for Red October,Beam Software,Hi Tech Expressions,Hi Tech Expressions,January 1991,1992
285,Hydlide,T&E Soft,FCI,Unreleased,June 1989,Unreleased
286,Ice Climber,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986"
287,Ice Hockey,Nintendo Research & Development 2,Nintendo,Nintendo,March 1988,"April 15, 1988"
288,Ikari Warriors,Micronics,SNK,SNK,May 1987,"August 10, 1989"
289,Ikari Warriors II: Victory Road,Micronics,SNK,Unreleased,April 1988,Unreleased
290,Ikari III: The Rescue,SNK,SNK,Unreleased,February 1991,Unreleased
291,Image Fight,Lenar,Irem,Unreleased,June 1990,Unreleased
292,The Immortal,Sandcastle,Electronic Arts,Unreleased,November 1990,Unreleased
293,The Incredible Crash Dummies,Software Creations,LJN,LJN,August 1994,"October 21, 1993"
294,Indiana Jones and the Last Crusade,Software Creations,Taito,Unreleased,March 1991,Unreleased
295,Indiana Jones and the Last Crusade (NA)Indy: Indiana Jones and the Last Crusade (EU),NMS Software,Ubisoft,Ubisoft,December 1993,1993
296,Indiana Jones and the Temple of Doom[b],Tengen,Mindscape,Unreleased,December 1988,Unreleased
297,Infiltrator,Eastridge Technology,Mindscape,Unreleased,January 1990,Unreleased
298,International Cricket,Beam Software,Unreleased,Laser Beam Entertainment,Unreleased,1992
299,Iron Tank: The Invasion of Normandy,SNK,SNK,SNK,July 1988,1988
300,Ironsword: Wizards & Warriors II,Zippo Games,Acclaim Entertainment,Acclaim Entertainment,December 1989,"March 27, 1991"
301,Isolated Warrior,KID,NTVIC,Nintendo,February 1991,1991
302,Ivan 'Ironman' Stewart's Super Off Road,Rare,Tradewest,Nintendo,April 1990,"March 14, 1991"
303,Jack Nicklaus' Greatest 18 Holes of Major Championship Golf,Sculptured Software,Konami,Konami,March 1990,"June 27, 1991"
304,Jackal,Konami,Konami,Unreleased,September 1988,Unreleased
305,Jackie Chan's Action Kung Fu,Now Production,Hudson Soft,Hudson Soft,December 1990,1991
306,James Bond Jr.,Eurocom,THQ,THQ,November 1992,1992
307,Jaws,Escape/Westone,LJN,Unreleased,November 1987,Unreleased
308,Jeopardy!,Rare,GameTek,Unreleased,September 1988,Unreleased
309,Jeopardy! 25th Anniversary Edition,Rare,GameTek,Unreleased,June 1990,Unreleased
310,Jeopardy! Junior Edition,Rare,GameTek,Unreleased,October 1989,Unreleased
311,The Jetsons: Cogswell's Caper!,Natsume,Taito,Taito,December 1992,"August 26, 1993"
